Reg	Orden	Hogar	Fex_c	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	Llave_viv	Llave_hog	Fex_c_2011
50	01	01	5736.2194832	1	1												200601300092	20060130009201	5793.77480693293
50	02	01	5736.2194832	1	4	1											200601300092	20060130009201	5793.77480693293
50	01	01	3317.4920465	1	1												200601300093	20060130009301	3263.95154789512
50	02	01	3317.4920465	1	4	2	2	2	2	2							200601300093	20060130009301	3263.95154789512
50	03	01	3317.4920465	1	2	2	2	2	1							1	200601300093	20060130009301	3263.95154789512
50	04	01	3317.4920465	1	1												200601300093	20060130009301	3263.95154789512
50	05	01	3317.4920465	1	3	2	2	2	2	2							200601300093	20060130009301	3263.95154789512
50	06	01	3317.4920465	1	3	2	2	2	2	2							200601300093	20060130009301	3263.95154789512
50	01	01	5022.8074088	2	1												200601300094	20060130009401	5052.26845110738
50	02	01	5022.8074088	2	4	2	2	2	2	2							200601300094	20060130009401	5052.26845110738
50	03	01	5022.8074088	2	3	2	2	2	2	2							200601300094	20060130009401	5052.26845110738
