Reg	Orden	Hogar	Fex_c	P24	P26	P27	P26n	P27a	P27bi	P27bii	Valor28	P29	Valor29	P30	Valor30	P30a	Valor30a	P30b	Valor30b	Valor31	Valor31a	Valor32a	Valor32b	Valor33a	Valor33b	Valor33c	P33a	P33b	P33c	P33d	P33e	Llave_viv	Llave_hog	Fex_c_2011
60	02	01	2914.1746346	62	01	1	0125	2			408000	2		2		2		2				0	0	0	0	0	1	1	2	1	2	200601300081	20060130008101	2902.2961732187
60	03	01	2914.1746346	62	01	1	0125	2			408000	1	90000	2		2		2				0	0	0	0	0	1	1	2	1	2	200601300081	20060130008101	2902.2961732187
60	01	01	2317.1609155	60	05	1	0501	2			200000	2		2		2		2				0	0	0	0	0	1	2		2		200601300082	20060130008201	2295.63023162636
60	01	01	2630.7193846	60	01	1	0125	1	2	12	380000	2		2		2		2				0	0	0	0	0	1	1	1	1	1	200601300083	20060130008301	2651.97300339869
60	01	01	1893.7190164	62	01	1	0125	1	2	12	190000	2		2		2		2				0	0	0	0	0	1	1	1	1	1	200601300084	20060130008401	1904.62627475963
60	01	01	2261.7287769	60	01	1	0121	2			240000	2		2		2		2				0	0	0	0	0	2			2		200601300085	20060130008501	2251.39374031209
60	03	01	2261.7287769	62	01	1	0121	2			240000	2		2		2		2				0	0	0	0	0	1	2		2		200601300085	20060130008501	2251.39374031209
60	01	01	1904.640679	60	01	1	0121	2			600000	1	90000	2		2		2				0	0	0	0	0	2			2		200601300086	20060130008601	1959.91043122608
60	01	01	2092.942956	60	01	1	0121	2			408000	1	90000	2		2		2				0	0	0	0	0	1	2		2		200601300087	20060130008701	2094.11114277378
60	01	01	4466.7433436	62	01	1	0130	2			280000	2		2		2		2				0	0	0	0	0	1	2		2		200601300088	20060130008801	4456.07224627431
60	01	01	4883.102621	61	01	5	0130													4800000	300000	0	0	0	0	0	1	2		2		200601300089	20060130008901	4892.41026618216
60	03	01	4883.102621	62	01	7	0130															0	0	0	0	0	1	2		2		200601300089	20060130008901	4892.41026618216
