Reg	Orden	Hogar	Fex_c	P24	P26	P26n	P27	P27a	P27bi	P27bii	Valor28	P29	Valor29	P30	Valor30	P30a	Valor30a	P30b	Valor30b	Valor31	Valor32a	Valor32b	Valor33a	Valor33b	Valor33c	P33a	P33b	P33c	P33d	P33e	Llave_viv	Llave_hog	Fex_c_2011
60	07	01	776.31478554	58	75	7512	1	1	2	12	600000	2		2		2		2			0	800000	0	0	0	1	1	1	3		200601200116	20060120011601	777.895617333482
60	01	01	759.00103633	98	51	5155	1	2			440000	2		2		2		2			0	0	0	0	0	1	2		2		200601200117	20060120011701	760.29421777679
60	03	01	839.51313185	99	51	5155	4													98	0	0	0	0	0	1	2		2		200601200118	20060120011801	840.058797791082
60	01	01	628.04832356	53	15	1594	4													300000	0	0	0	0	0	1	2		2		200601200120	20060120012001	625.571908910224
60	01	01	734.86848964	53	15	1594	4													200000	0	0	0	0	0	1	2		2		200601200121	20060120012101	733.061738895868
60	01	01	688.45718869	45	50	5030	1	2			425000	2		2		2		2			120000	0	0	0	0	1	1	1	1	1	200601200122	20060120012201	687.763540991129
60	01	01	634.86415293	58	70	7020	1	1	1		425000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200123	20060120012301	634.799173751752
60	01	01	474.22932134	81	52	5241	1	1	2	12	1000000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200124	20060120012401	471.80158527365
60	01	01	771.59103568	34	35	3530	1	1	1		600000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200126	20060120012601	773.511489084715
60	01	01	813.26366411	97	15	1551	1	1	2	06	408000	1	106000	2		1	60000	2			0	0	0	0	0	1	1	1	1	1	200601200127	20060120012701	814.259052000068
60	01	01	700.22136578	53	55	5521	1	1	1		426000	1	75000	2		2		2			0	0	0	0	0	1	1	1	1	1	200601200128	20060120012801	704.322139817208
60	02	01	700.22136578	95	45	4530	1	1	2	03	426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200128	20060120012801	704.322139817208
60	02	01	544.67589684	54	95	9500	3	2			360000	1	100000	1	90000	2		2			0	0	98	0	0	1	1	2	1	2	200601200130	20060120013001	595.453238936026
60	02	02	754.27431836	54	95	9500	4													360000	0	0	0	0	0	1	2		2		200601200130	20060120013002	595.453238936026
60	01	01	712.58973538	41	52	5225	4													40000	0	204000	0	0	0	2			2		200601200131	20060120013101	714.996019872052
60	01	01	742.47109893	55	80	8050	1	1	2	11	416000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200132	20060120013201	744.637935949239
60	01	01	618.11258578	87	45	4541	1	2			800000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200133	20060120013301	616.59950067112
60	03	01	618.11258578	97	60	6042	1	1	2	04	455700	1	60000	2		2		2			0	0	0	0	0	1	1	1	1	1	200601200133	20060120013301	616.59950067112
60	02	01	713.03769766	79	18	1810	4													200000	0	0	0	0	0	1	2		1	3	200601200134	20060120013401	713.453095602872
60	01	01	675.45717452	77	52	5223	1	2			455700	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200136	20060120013601	673.19933612218
60	02	01	675.45717452	39	52	5244	1	2			180000	1	90000	2		2		2			0	0	0	0	0	1	2		2		200601200136	20060120013601	673.19933612218
60	01	01	641.04833773	45	52	5269	4													98	0	0	0	0	0	1	2		2		200601200137	20060120013701	640.136113779174
