Reg	Orden	Hogar	Fex_c	P49	P50	P51	P52	P52a	P53	P54	P55	P56	P57	P56n	P57a	Valor58a	Valor58b	Valor58c	Valor59a	Valor59b	Valor59c	Llave_viv	Llave_hog	Fex_c_2011
70	02	01	1341.3277761	8	48	79	5	08	2	43	99	11	1	1110	8	0	0	0	0	0	0	200601301069	20060130106901	1349.08366103124
70	03	01	1336.8985248	8	48	99	1	09	2	2	62	01	1	0123	8	45000	0	0	0	0	0	200601301079	20060130107901	1338.4929366196
70	03	01	1283.6263729	156	24	13	5	14	2	104	13	80	5	8043	8	60000	0	0	0	0	0	200601301080	20060130108001	1271.91348589091
70	05	01	1283.6263729	52	48	45	1	07	2	1	62	01	1	0117	8	50000	0	0	0	0	0	200601301080	20060130108001	1271.91348589091
70	01	01	1467.8267539	4	48	62	1	05	2	4	62	01	1	0115	8	250000	0	0	0	0	0	200601301084	20060130108401	1470.29943856835
70	02	01	1331.0083587	26	48	32	1	01	2	30	33	75	5	7512	8	0	0	0	0	0	0	200601301086	20060130108601	1335.22474417305
70	04	01	1478.0475213	8	48	54	3	01	2	156	54	95	3	9500	2	0	0	0	0	0	0	200601301110	20060130111001	1485.44687635897
70	05	01	1168.2106023	6	48	54	3	01	2	6	54	95	3	9500	6	0	0	0	400000	0	0	200601301116	20060130111601	1165.74918460719
70	01	01	1976.4947008	8	54	62	4	12	2	43	62	01	4	0111	4	0	0	0	0	0	0	200601301133	20060130113301	1979.06009149863
70	04	01	1976.4947008	3	50	62	4	01	2	3	62	01	4	0111	8	120000	0	0	0	0	0	200601301133	20060130113301	1979.06009149863
70	03	01	1794.3727087	4	48	54	3	01	2	4	54	95	3	9500	8	280000	0	0	0	0	0	200601301134	20060130113401	1820.98681895667
70	01	01	1450.1222462	2	50	54	3	01	2	998	54	95	3	9500	3	0	1200000	0	720000	0	0	200601301137	20060130113701	1462.13598141124
70	03	01	3331.1305417	30	50	54	3	01	1							0	0	0	0	0	0	200601301152	20060130115201	3361.61996256992
70	03	01	3513.2328386	8	50	54	3	01	2	8	54	95	3	9500	6	0	0	0	0	0	0	200601301166	20060130116601	3556.70320430532
70	01	01	2898.8430025	13	48	98	1	01	2	13	98	52	1	5241	8	0	0	0	600000	0	0	200601301196	20060130119601	2908.66169467405
70	02	01	5025.2981597	26	48	45	1	01	2	156	45	15	1	1551	3	0	0	0	0	0	0	200601301202	20060130120201	5041.51049678408
70	04	01	4531.7489537	104	48	58	1	01	2	3	99	51	1	5141	8	30000	0	0	0	0	0	200601301205	20060130120501	4571.85188108986
70	03	01	3858.6488152	26	54	62	1	01	2	104	99	50	5	5020	5	0	0	0	0	0	0	200601301207	20060130120701	3858.65989734214
70	01	01	3973.033652	13	48	95	6	01	2	13	95	45	6	4521	8	0	0	0	1200000	0	0	200601301222	20060130122201	3953.39370739764
70	05	01	3973.033652	13	48	95	1	01	2	13	95	45	1	4521	8	0	0	0	0	0	0	200601301222	20060130122201	3953.39370739764
70	01	01	4616.7513252	998	25	54	3	05	2	998	54	95	3	9500	3	0	0	0	0	0	0	200601301223	20060130122301	4594.72471798944
70	01	01	3615.3029672	8	48	85	5	01	2	17	95	45	5	4530	8	0	0	0	0	0	0	200601301226	20060130122601	3589.16409322108
70	06	01	4041.330605	8	48	45	1	01	1							0	0	0	0	0	0	200601301230	20060130123001	3970.86635305496
70	03	01	1504.4642081	52	30	62	1	01	2	52	62	92	1	9249	7	0	0	0	0	0	0	200601301242	20060130124201	1495.8955009738
70	02	01	1365.3180141	52	48	54	3	01	2	52	59	95	3	9500	7	0	0	0	0	0	0	200601301243	20060130124301	1356.2826517336
70	02	01	1772.0691408	8	48	95	1	09	1							0	0	0	0	0	0	200601301247	20060130124701	1773.73444157855
70	03	01	1772.0691408	8	48	99	1	09	2	8	99	45	1	4521	8	160000	0	0	0	0	0	200601301247	20060130124701	1773.73444157855
