Reg	Orden	Hogar	Fex_c	P37	Valor38	P39	P40	P41	P42	P43	P44	P45	P46a	P46b	P46c	P46d	P46e	P46f	P46g	P46h	P46i	P46j	P47	P48	Llave_viv	Llave_hog	Fex_c_2011
62	01	01	3688.6423759	1	28000	8	2					1		1									2	1	200601300119	20060130011901	3655.76429837306
62	01	01	3597.9820986	1	98	3	2					2													200601300120	20060130012001	3574.01578539517
62	01	01	2138.8970534	2			2					2													200601300124	20060130012401	2153.94328095039
62	01	01	2328.2648656	2			1	40	1	1	1			1									2	1	200601300125	20060130012501	2347.2320763436
62	02	01	2328.2648656	2			1	40	1	1	1			1									2	1	200601300125	20060130012501	2347.2320763436
62	01	01	2150.0918697	2			2					2													200601300126	20060130012601	2190.32471937608
62	02	01	1973.921371	2			2					2													200601300128	20060130012801	1982.89122075689
62	01	01	2256.7252953	1	60000	16	2					2													200601300130	20060130013001	2261.46050035862
62	01	01	2383.9445107	1	98	0	2					2													200601300132	20060130013201	2364.64889766478
62	03	01	2383.9445107	2			2					2													200601300132	20060130013201	2364.64889766478
62	01	01	3231.0272213	1	400000	16	2					2													200601300133	20060130013301	3243.45518818988
62	05	01	3231.0272213	1	0	7	2					2													200601300133	20060130013301	3243.45518818988
62	01	01	2275.8288508	2			2					2													200601300134	20060130013401	2213.80279210765
62	01	01	2296.1537459	2			2					2													200601300135	20060130013501	2302.07089769297
62	03	01	2296.1537459	2			2					2													200601300135	20060130013501	2302.07089769297
62	01	01	2783.6448689	2			2					2													200601300136	20060130013601	2786.14864571565
62	02	01	2783.6448689	2			2					1		1					1				1	1	200601300136	20060130013601	2786.14864571565
62	01	01	2444.4513309	1	0	14	2					2													200601300137	20060130013701	2461.64700229384
62	02	01	2444.4513309	2			2					2													200601300137	20060130013701	2461.64700229384
62	01	01	2444.4513309	2			2					2													200601300138	20060130013801	2461.64700229384
62	02	01	2444.4513309	2			2					2													200601300138	20060130013801	2461.64700229384
62	01	01	3053.1367089	2			2					1		1					1				2	1	200601300139	20060130013901	3065.07114617363
62	01	01	2830.947052	2			2					2													200601300140	20060130014001	2815.28993231171
62	02	01	2830.947052	2			2					2													200601300140	20060130014001	2815.28993231171
62	01	01	1838.4634257	2			2					2													200601300141	20060130014101	1857.47618448857
62	01	01	1829.528703	2			1	32	1	1	2														200601300142	20060130014201	1829.4778768732
62	02	01	1829.528703	2			2					2													200601300142	20060130014201	1829.4778768732
62	01	01	2308.6042326	2			2					2													200601300143	20060130014301	2313.64254043859
62	02	01	2308.6042326	2			2					2													200601300143	20060130014301	2313.64254043859
62	01	01	1766.2461651	2			1	32	1	1	2														200601300144	20060130014401	1746.39243268652
62	02	01	1766.2461651	2			2					2													200601300144	20060130014401	1746.39243268652
62	03	01	1766.2461651	2			2					1		1									1	1	200601300144	20060130014401	1746.39243268652
62	04	01	1766.2461651	2			2					1		1									1	2	200601300144	20060130014401	1746.39243268652
62	01	01	1762.7823881	1	1000000	0	2					2													200601300145	20060130014501	1751.88380500621
62	02	01	1762.7823881	2			2					2													200601300145	20060130014501	1751.88380500621
