Reg	Orden	Hogar	Fex_c	P3	P4	P5	P6	P7	P8	P8a	P8b	P9	P10	P10a	P10b	P10c	P10n	P10u	Llave_viv	Llave_hog	Fex_c_2011
10	03	01	4199.4695464	03	2	6	5	2	1			1	300	2	2		3	0	200601300032	20060130003201	4187.34281054345
10	04	01	4199.4695464	03	1	2	5												200601300032	20060130003201	4187.34281054345
10	05	01	4199.4695464	03	1	0	5												200601300032	20060130003201	4187.34281054345
10	01	01	3564.3465017	01	1	54	2	2	2	2	01		100				1	0	200601300033	20060130003301	3610.58686621478
10	02	01	3564.3465017	02	2	48	2	1	2	2	06		302				3	2	200601300033	20060130003301	3610.58686621478
10	03	01	3564.3465017	03	2	27	5	1	2	2	02		406				4	6	200601300033	20060130003301	3610.58686621478
10	04	01	3564.3465017	05	1	6	5	2	1			1	300	2	2		3	0	200601300033	20060130003301	3610.58686621478
10	05	01	3564.3465017	05	2	3	5												200601300033	20060130003301	3610.58686621478
10	01	01	2755.7854275	01	1	50	2	2	2	2	01		100				1	0	200601300034	20060130003401	2790.79064276027
10	02	01	2755.7854275	02	2	52	2	1	2	2	07		302				3	2	200601300034	20060130003401	2790.79064276027
10	03	01	2755.7854275	03	2	18	5	1	1			1	409				4	9	200601300034	20060130003401	2790.79064276027
10	04	01	2755.7854275	03	2	14	5	1	1			1	408				4	8	200601300034	20060130003401	2790.79064276027
10	01	01	3268.6683529	01	1	57	2	1	2	2	01		302				3	2	200601300035	20060130003501	3313.04479142153
10	02	01	3268.6683529	02	2	54	2	1	2	2	07		302				3	2	200601300035	20060130003501	3313.04479142153
10	01	01	4690.5826451	01	2	62	3	1	2	2	07		999				9	99	200601300036	20060130003601	4691.91298545338
10	02	01	4690.5826451	03	1	22	5	1	2	2	01		406				4	6	200601300036	20060130003601	4691.91298545338
10	03	01	4690.5826451	03	1	24	5	1	2	2	01		304				3	4	200601300036	20060130003601	4691.91298545338
10	04	01	4690.5826451	04	2	23	1	1	2	2	07		406				4	6	200601300036	20060130003601	4691.91298545338
10	01	01	3791.4758068	01	1	87	2	2	2	2	11		100				1	0	200601300037	20060130003701	3826.3324345171
10	02	01	3791.4758068	02	2	70	2	1	2	2	11		100				1	0	200601300037	20060130003701	3826.3324345171
10	01	01	4183.0044026	01	1	26	2	1	2	2	01		304				3	4	200601300038	20060130003801	4141.61049484455
10	02	01	4183.0044026	02	2	20	2	1	2	2	07		406				4	6	200601300038	20060130003801	4141.61049484455
10	03	01	4183.0044026	03	1	3	5												200601300038	20060130003801	4141.61049484455
10	04	01	4183.0044026	03	1	1	5												200601300038	20060130003801	4141.61049484455
10	01	01	4053.7418106	01	1	31	2	1	2	2	02		302				3	2	200601300039	20060130003901	4066.89651578027
10	02	01	4053.7418106	02	2	27	2	1	2	2	02		304				3	4	200601300039	20060130003901	4066.89651578027
10	03	01	4053.7418106	03	1	0	5												200601300039	20060130003901	4066.89651578027
10	01	01	4116.3939001	01	1	26	5	1	2	2	01		303				3	3	200601300040	20060130004001	4099.60857512654
10	01	01	5113.0411562	01	2	50	3	1	2	2	06		302				3	2	200601300041	20060130004101	5074.87435819786
10	02	01	5113.0411562	03	2	24	5	2	2	2	11		100				1	0	200601300041	20060130004101	5074.87435819786
10	03	01	5113.0411562	03	1	18	5	2	2	2	06		100				1	0	200601300041	20060130004101	5074.87435819786
10	04	01	5113.0411562	03	1	15	5	1	2	2	06		303				3	3	200601300041	20060130004101	5074.87435819786
10	05	01	5113.0411562	03	1	14	5	1	2	2	06		302				3	2	200601300041	20060130004101	5074.87435819786
10	06	01	5113.0411562	03	1	11	5	2	1			1	300				3	0	200601300041	20060130004101	5074.87435819786
10	07	01	5113.0411562	03	1	8	5	2	1			1	300	2	2		3	0	200601300041	20060130004101	5074.87435819786
10	08	01	5113.0411562	03	2	10	5	2	1			1	300				3	0	200601300041	20060130004101	5074.87435819786
10	01	01	5440.9455038	01	1	51	2	2	2	2	01		100				1	0	200601300042	20060130004201	5374.70440319892
10	02	01	5440.9455038	02	2	36	2	2	2	2	07		100				1	0	200601300042	20060130004201	5374.70440319892
10	03	01	5440.9455038	03	1	17	5	1	2	2	06		304				3	4	200601300042	20060130004201	5374.70440319892
10	04	01	5440.9455038	03	1	17	5	1	2	2	06		407				4	7	200601300042	20060130004201	5374.70440319892
10	05	01	5440.9455038	03	2	14	5	1	2	2	05		305				3	5	200601300042	20060130004201	5374.70440319892
10	06	01	5440.9455038	03	1	11	5	1	1			1	302				3	2	200601300042	20060130004201	5374.70440319892
10	07	01	5440.9455038	03	1	5	5	2	2	2	05		100	2	2		1	0	200601300042	20060130004201	5374.70440319892
10	08	01	5440.9455038	03	2	5	5	2	2	2	05		100	2	2		1	0	200601300042	20060130004201	5374.70440319892
10	09	01	5440.9455038	03	1	0	5												200601300042	20060130004201	5374.70440319892
10	01	01	4373.9212768	01	1	63	2	2	2	2	01		100				1	0	200601300043	20060130004301	4389.46695382373
10	02	01	4373.9212768	02	2	56	2	1	2	2	01		302				3	2	200601300043	20060130004301	4389.46695382373
10	03	01	4373.9212768	03	1	17	5	1	2	2	05		409				4	9	200601300043	20060130004301	4389.46695382373
10	01	01	3617.55592	01	1	83	4	2	2	2	11		100				1	0	200601300044	20060130004401	3617.778793259
10	01	01	4085.0577299	01	1	42	1	1	2	2	01		302				3	2	200601300045	20060130004501	4075.73734213041
10	02	01	4085.0577299	02	2	30	1	1	2	2	07		305				3	5	200601300045	20060130004501	4075.73734213041
10	03	01	4085.0577299	03	1	13	5	1	1			1	406				4	6	200601300045	20060130004501	4075.73734213041
10	04	01	4085.0577299	03	1	12	5	1	1			1	400				4	0	200601300045	20060130004501	4075.73734213041
10	01	01	2584.9559095	01	1	33	2	1	2	2	01		304				3	4	200601300046	20060130004601	2601.61850658916
10	02	01	2584.9559095	02	2	35	2	1	2	2	07		304				3	4	200601300046	20060130004601	2601.61850658916
10	03	01	2584.9559095	03	2	10	5	1	1			1	400				4	0	200601300046	20060130004601	2601.61850658916
10	04	01	2584.9559095	03	2	3	5												200601300046	20060130004601	2601.61850658916
10	01	01	3140.1358599	01	1	72	2	1	2	2	11		302				3	2	200601300047	20060130004701	3169.00444625262
10	02	01	3140.1358599	02	2	65	2	1	2	2	11		302				3	2	200601300047	20060130004701	3169.00444625262
10	01	01	1752.8552348	01	1	55	2	1	2	2	01		302				3	2	200601300048	20060130004801	1786.76668841541
10	02	01	1752.8552348	02	2	48	2	1	2	2	07		302				3	2	200601300048	20060130004801	1786.76668841541
10	03	01	1752.8552348	03	2	23	5	1	2	2	02		305				3	5	200601300048	20060130004801	1786.76668841541
10	04	01	1752.8552348	03	2	15	5	1	2	2	02		305				3	5	200601300048	20060130004801	1786.76668841541
10	05	01	1752.8552348	03	2	6	5	2	1			1	300	2	2		3	0	200601300048	20060130004801	1786.76668841541
10	01	01	3837.8536965	01	1	50	5	1	2	2	02		305				3	5	200601300049	20060130004901	3793.6637774829
10	02	01	3837.8536965	08	1	36	5	1	2	2	01		407				4	7	200601300049	20060130004901	3793.6637774829
10	03	01	3837.8536965	15	1	47	5	1	2	2	01		305				3	5	200601300049	20060130004901	3793.6637774829
10	01	01	3498.4867535	01	1	70	2	1	2	2	01		302				3	2	200601300050	20060130005001	3540.8952629194
10	02	01	3498.4867535	02	2	62	2	1	2	2	07		302				3	2	200601300050	20060130005001	3540.8952629194
10	03	01	3498.4867535	03	1	30	5	1	2	2	06		407				4	7	200601300050	20060130005001	3540.8952629194
10	04	01	3498.4867535	08	2	68	5	1	2	2	11		302				3	2	200601300050	20060130005001	3540.8952629194
10	01	01	3140.1358599	01	1	61	2	1	2	2	11		305				3	5	200601300051	20060130005101	3169.00444625262
10	02	01	3140.1358599	02	2	61	2	1	2	2	11		305				3	5	200601300051	20060130005101	3169.00444625262
10	01	01	3549.7295228	01	1	40	2	1	2	2	01		406				4	6	200601300052	20060130005201	3534.40509848195
10	02	01	3549.7295228	02	2	37	2	1	2	2	01		303				3	3	200601300052	20060130005201	3534.40509848195
10	03	01	3549.7295228	03	2	15	5	1	1			1	408				4	8	200601300052	20060130005201	3534.40509848195
10	04	01	3549.7295228	03	1	14	5	1	1			1	407				4	7	200601300052	20060130005201	3534.40509848195
10	05	01	3549.7295228	03	1	10	5	1	1			1	400				4	0	200601300052	20060130005201	3534.40509848195
10	06	01	3549.7295228	03	2	7	5	1	1			1	302	2	1	007	3	2	200601300052	20060130005201	3534.40509848195
10	01	01	3140.1358599	01	2	84	3	1	2	2	11		999				9	99	200601300053	20060130005301	3169.00444625262
10	02	01	3140.1358599	03	1	58	4	2	2	2	01		100				1	0	200601300053	20060130005301	3169.00444625262
10	01	01	3409.2360753	01	1	27	4	1	2	2	01		305				3	5	200601300054	20060130005401	3395.33431159151
10	01	01	2866.659224	01	1	75	2	2	2	2	11		100				1	0	200601300055	20060130005501	2915.89440173016
10	02	01	2866.659224	02	2	72	2	1	2	2	11		302				3	2	200601300055	20060130005501	2915.89440173016
10	03	01	2866.659224	03	2	31	5	1	2	2	06		305				3	5	200601300055	20060130005501	2915.89440173016
10	04	01	2866.659224	03	1	50	3	1	2	2	01		303				3	3	200601300055	20060130005501	2915.89440173016
10	05	01	2866.659224	08	1	74	5	2	2	2	11		100				1	0	200601300055	20060130005501	2915.89440173016
10	01	01	3218.2230963	01	1	53	2	2	2	2	01		100				1	0	200601300056	20060130005601	3216.57910864864
10	02	01	3218.2230963	02	2	47	2	1	2	2	07		305				3	5	200601300056	20060130005601	3216.57910864864
10	03	01	3218.2230963	03	1	25	5	1	2	2	11		305				3	5	200601300056	20060130005601	3216.57910864864
10	04	01	3218.2230963	03	2	2	5												200601300056	20060130005601	3216.57910864864
10	01	01	2412.3737817	01	1	54	2	1	2	2	01		407				4	7	200601300057	20060130005701	2474.77131976996
10	02	01	2412.3737817	02	2	44	2	1	2	2	06		304				3	4	200601300057	20060130005701	2474.77131976996
10	03	01	2412.3737817	03	2	26	5	1	2	2	11		100				1	0	200601300057	20060130005701	2474.77131976996
10	04	01	2412.3737817	03	2	16	5	1	1			1	408				4	8	200601300057	20060130005701	2474.77131976996
10	01	01	2588.6747822	01	1	56	2	1	2	2	01		302				3	2	200601300058	20060130005801	2603.98748557866
10	02	01	2588.6747822	02	2	49	2	1	2	2	07		302				3	2	200601300058	20060130005801	2603.98748557866
10	03	01	2588.6747822	03	2	18	5	1	2	2	11		610				6	10	200601300058	20060130005801	2603.98748557866
10	04	01	2588.6747822	05	1	1	5												200601300058	20060130005801	2603.98748557866
10	05	01	2588.6747822	03	2	13	5	1	1			1	407				4	7	200601300058	20060130005801	2603.98748557866
10	06	01	2588.6747822	03	1	12	5	1	1			1	400				4	0	200601300058	20060130005801	2603.98748557866
10	01	01	3831.4728464	01	1	34	2	1	2	2	01		305				3	5	200601300059	20060130005901	3818.82413028414
10	02	01	3831.4728464	02	2	30	2	1	2	2	07		305				3	5	200601300059	20060130005901	3818.82413028414
10	03	01	3831.4728464	03	1	7	5	1	1			1	301	2	1	004	3	1	200601300059	20060130005901	3818.82413028414
10	04	01	3831.4728464	03	1	6	5	2	1			1	300	2	1	004	3	0	200601300059	20060130005901	3818.82413028414
10	05	01	3831.4728464	03	1	0	5												200601300059	20060130005901	3818.82413028414
10	01	01	3602.6709233	01	1	45	2	1	2	2	01		303				3	3	200601300060	20060130006001	3609.34404618402
10	02	01	3602.6709233	02	2	42	2	1	2	2	07		305				3	5	200601300060	20060130006001	3609.34404618402
10	03	01	3602.6709233	03	1	12	5	1	1			1	303				3	3	200601300060	20060130006001	3609.34404618402
10	01	01	3262.6789432	01	1	22	1	1	2	2	01		302				3	2	200601300061	20060130006101	3220.98538309123
10	02	01	3262.6789432	02	2	24	1	1	2	2	07		303				3	3	200601300061	20060130006101	3220.98538309123
10	03	01	3262.6789432	03	2	5	5	2	2	2	03		100	2	2		1	0	200601300061	20060130006101	3220.98538309123
10	04	01	3262.6789432	03	1	4	5												200601300061	20060130006101	3220.98538309123
10	05	01	3262.6789432	03	2	2	5												200601300061	20060130006101	3220.98538309123
10	01	01	2405.5354845	01	2	73	4	1	2	2	07		999				9	99	200601300062	20060130006201	2498.93009737795
10	02	01	2405.5354845	03	2	45	5	1	2	2	07		302				3	2	200601300062	20060130006201	2498.93009737795
10	03	01	2405.5354845	05	1	10	5	1	1			1	304				3	4	200601300062	20060130006201	2498.93009737795
