Reg	Orden	Hogar	Area	Fex_c	Rama4d	P49	P50	P51	P52	P52na	P53	P54	P55	P56	P57	P57na	Valor58a	Valor58b	Valor58c	Valor59a	Valor59b	Valor59c	Dsi	Llave_viv	Llave_hog	Fex_c_2011
70	02	01	05	760.0682691	8043	52	48	13	1	01	2	130	13	80	2	3	0	0	0	0	0	0	1	200601100424	20060110042401	760.29421777679
70	02	01	05	807.83071829	5121	26	48	32	1	01	2	26	39	51	1	3	0	0	0	0	0	0	1	200601100432	20060110043201	810.465036241827
70	01	01	05	874.88991577	3611	4	48	81	1	01	2	4	81	36	1	8	98	0	0	0	0	0	1	200601100436	20060110043601	874.317445481912
70	02	01	05	562.12758288	1810	4	48	79	1	01	2	21	79	18	1	3	0	0	0	2400000	0	0	1	200601100438	20060110043801	560.195245961353
70	02	01	05	720.04107024	7413	52	48	34	1	01	2	52	39	74	1	3	0	0	0	0	0	0	1	200601100446	20060110044601	718.003730592257
70	03	01	05	683.05253524		8	48	97	1	07	1						0	0	0	0	0	0	1	200601100448	20060110044801	684.969992216788
70	01	01	05	595.37383153	7493	4	48	53	1	05	2	52	55	74	4	8	0	0	0	98	0	0	1	200601100453	20060110045301	594.837915874435
70	02	01	05	595.37383153		52	48	54	3	09	1						0	0	0	98	0	0	1	200601100453	20060110045301	594.837915874435
70	01	02	05	486.84201204	5231	4	48	37	1	07	2	4	37	52	1	1	490000	0	0	0	0	0	1	200601100454	20060110045402	481.400527263366
70	02	02	05	486.84201204	1810	52	48	97	1	07	2	52	97	18	1	8	0	0	0	0	0	0	1	200601100454	20060110045402	481.400527263366
70	02	01	05	424.943541	5522	2	48	58	1	02	2	2	53	55	1	6	381500	0	0	0	0	0	1	200601100456	20060110045601	420.434309116557
70	02	01	05	717.08737275	5051	2	48	54	3	01	2	3	45	50	1	3	700000	0	0	0	0	0	1	200601100458	20060110045801	718.838190158226
70	03	01	05	509.35682789	1810	8	48	79	1	01	2	13	79	18	1	8	0	0	0	0	0	0	1	200601100460	20060110046001	509.089967780849
70	02	01	05	641.87026127	1810	30	48	45	1	01	2	30	92	18	1	8	0	0	0	0	0	0	1	200601100461	20060110046101	642.465343086391
70	02	01	05	595.37383153	8011	52	48	13	1	01	2	52	13	80	1	8	0	0	0	0	0	0	1	200601100464	20060110046401	594.837915874435
70	02	01	05	551.76271536	5269	26	48	45	1	07	2	78	45	52	4	3	0	0	0	0	0	0	1	200601100465	20060110046501	547.650023243228
70	06	01	05	551.76271536	9301	34	48	55	1	01	2	26	79	93	1	8	0	0	0	0	0	0	1	200601100465	20060110046501	547.650023243228
70	01	01	05	761.55634182	6022	52	48	98	1	01	2	52	98	60	1	8	0	0	0	0	0	0	1	200601100467	20060110046701	763.331412464533
70	03	01	05	793.51661302	6331	78	48	33	1	01	2	78	33	63	1	8	0	0	0	0	0	0	1	200601100470	20060110047001	795.851555144888
70	04	01	05	1011.0299915	6031	21	48	98	1	01	2	21	98	60	4	7	0	0	0	0	0	0	1	200601100477	20060110047701	1012.02879450829
70	01	01	05	544.54674051		52	48	45	1	01	1						0	0	0	98	0	0	1	200601100483	20060110048301	543.17232766815
70	01	01	05	574.70011945	5521	52	48	55	1	01	2	52	53	55	1	3	0	0	0	0	0	0	1	200601100484	20060110048401	576.283704539089
70	02	01	05	574.70011945	6340	4	48	59	1	01	2	4	32	63	1	8	250000	0	0	0	0	0	1	200601100484	20060110048401	576.283704539089
70	04	01	05	588.90460065	5530	30	48	45	1	01	2	52	53	55	1	6	0	0	0	0	0	0	1	200601100491	20060110049101	589.500975847013
