Reg	Orden	Hogar	Area	Fex_c	P3	P4	P5	P6	P7	P8	Pn8a	Pn8b	P9	P10	P10n	P10u	Llave_viv	Llave_hog	Fex_c_2011
10	02	01	05	666.05974677	02	2	58	2	1	2	2	11		302	3	2	200601100038	20060110003801	666.722164608224
10	03	01	05	666.05974677	03	2	16	5	1	2	2	02		611	6	11	200601100038	20060110003801	666.722164608224
10	01	01	05	712.30581991	01	1	37	2	1	2	2	01		305	3	5	200601100039	20060110003901	710.123399311754
10	02	01	05	712.30581991	02	2	32	2	1	2	2	01		305	3	5	200601100039	20060110003901	710.123399311754
10	03	01	05	712.30581991	03	1	9	5	1	1			1	303	3	3	200601100039	20060110003901	710.123399311754
10	04	01	05	712.30581991	03	1	4	5									200601100039	20060110003901	710.123399311754
10	01	01	05	820.76918004	01	1	54	1	1	2	2	01		302	3	2	200601100040	20060110004001	821.13891629667
10	02	01	05	820.76918004	02	2	25	1	1	2	2	01		305	3	5	200601100040	20060110004001	821.13891629667
10	01	01	05	634.30133081	01	2	59	4	1	2	2	02		303	3	3	200601100041	20060110004101	635.585478789789
10	02	01	05	634.30133081	03	2	19	5	1	2	2	02		611	6	11	200601100041	20060110004101	635.585478789789
10	03	01	05	634.30133081	08	2	75	5	2	2	2	11		100	1	0	200601100041	20060110004101	635.585478789789
10	01	01	05	667.18635396	01	1	23	1	1	2	2	01		305	3	5	200601100042	20060110004201	667.368592660096
10	02	01	05	667.18635396	02	2	31	1	1	2	2	02		406	4	6	200601100042	20060110004201	667.368592660096
10	03	01	05	667.18635396	03	2	2	5									200601100042	20060110004201	667.368592660096
10	01	01	05	729.83955663	01	2	54	1	1	2	2	11		302	3	2	200601100043	20060110004301	728.932467249523
10	02	01	05	729.83955663	02	1	84	1	1	2	2	11		100	1	0	200601100043	20060110004301	728.932467249523
10	03	01	05	729.83955663	03	2	35	5	1	2	2	02		611	6	11	200601100043	20060110004301	728.932467249523
10	04	01	05	729.83955663	03	2	28	5	1	2	2	02		611	6	11	200601100043	20060110004301	728.932467249523
10	05	01	05	729.83955663	05	1	2	5									200601100043	20060110004301	728.932467249523
10	01	01	05	571.21281395	01	2	36	1	1	2	2	02		408	4	8	200601100044	20060110004401	570.148828246593
