Reg	Orden	Hogar	Area	Fex_c	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	Llave_viv	Llave_hog	Fex_c_2011
50	02	01	05	783.83310608	2	4	1											200601100055	20060110005501	783.822797761334
50	03	01	05	783.83310608	2	4	2	2	2	1							1	200601100055	20060110005501	783.822797761334
50	04	01	05	783.83310608	2	3	1											200601100055	20060110005501	783.822797761334
50	07	01	05	783.83310608	7	1												200601100055	20060110005501	783.822797761334
50	08	01	05	783.83310608	7	6												200601100055	20060110005501	783.822797761334
50	01	01	05	1028.4045804	1	4	2	2	2	2	1	13						200601100056	20060110005601	1026.89780109964
50	02	01	05	1028.4045804	1	5	2	2	2	2	1	13						200601100056	20060110005601	1026.89780109964
50	03	01	05	1028.4045804	1	1												200601100056	20060110005601	1026.89780109964
50	04	01	05	1028.4045804	1	5	2	2	2	1							1	200601100056	20060110005601	1026.89780109964
50	01	02	05	1028.4045804	2	1												200601100056	20060110005602	1026.89780109964
50	02	02	05	1028.4045804	2	4	2	2	2	2	2							200601100056	20060110005602	1026.89780109964
50	01	01	05	708.36633549	1	4	2	2	2	2	2							200601100057	20060110005701	711.331926579793
50	02	01	05	708.36633549	1	1												200601100057	20060110005701	711.331926579793
50	03	01	05	708.36633549	1	5	2	2	2	2	2							200601100057	20060110005701	711.331926579793
50	04	01	05	708.36633549	1	5	2	2	2	2	2							200601100057	20060110005701	711.331926579793
50	05	01	05	708.36633549	1	5	2	2	2	2	2							200601100057	20060110005701	711.331926579793
50	06	01	05	708.36633549	1	1												200601100057	20060110005701	711.331926579793
50	01	01	05	975.44361416	1	4	2	2	2	2	2							200601100058	20060110005801	976.311485437367
50	02	01	05	975.44361416	1	5	2	2	2	1							1	200601100058	20060110005801	976.311485437367
50	03	01	05	975.44361416	1	1												200601100058	20060110005801	976.311485437367
50	01	01	05	513.0408881	1	4	2	2	2	2	1	07	1	2				200601100059	20060110005901	515.779083525388
50	02	01	05	513.0408881	1	1												200601100059	20060110005901	515.779083525388
50	03	01	05	513.0408881	1	3	2	2	2	2	2							200601100059	20060110005901	515.779083525388
50	04	01	05	513.0408881	1	1												200601100059	20060110005901	515.779083525388
50	05	01	05	513.0408881	1	3	2	2	2	2	2							200601100059	20060110005901	515.779083525388
50	01	01	05	779.76138315	2	1												200601100060	20060110006001	777.733960412331
50	02	01	05	779.76138315	2	4	2	2	2	2	2							200601100060	20060110006001	777.733960412331
50	01	01	05	615.56491943	2	1												200601100061	20060110006101	616.004504529027
50	02	01	05	615.56491943	2	4	2	2	2	1							1	200601100061	20060110006101	616.004504529027
50	01	01	05	820.76918004	1	1												200601100062	20060110006201	821.13891629667
50	02	01	05	820.76918004	1	1												200601100062	20060110006201	821.13891629667
50	01	01	05	755.31501959	1	1												200601100063	20060110006301	755.311816004083
50	02	01	05	755.31501959	1	1												200601100063	20060110006301	755.311816004083
50	01	01	05	713.57183936	2	5	2	1										200601100064	20060110006401	712.666790564835
50	02	01	05	713.57183936	2	5	2	1										200601100064	20060110006401	712.666790564835
50	03	01	05	713.57183936	2	3	2	2	2	2	2							200601100064	20060110006401	712.666790564835
50	01	01	05	657.73644255	1	5	2	1										200601100065	20060110006501	660.066742643082
50	02	01	05	657.73644255	1	5	2	2	2	1							1	200601100065	20060110006501	660.066742643082
50	03	01	05	657.73644255	1	3	2	2	2	2	2							200601100065	20060110006501	660.066742643082
50	04	01	05	657.73644255	1	3	2	2	2	2	2							200601100065	20060110006501	660.066742643082
50	05	01	05	657.73644255	1	3	2	2	2	2	2							200601100065	20060110006501	660.066742643082
50	01	01	05	565.1922247	1	1												200601100066	20060110006601	561.690015702602
50	01	01	05	742.48742673	2	1												200601100067	20060110006701	743.271299483587
50	02	01	05	742.48742673	2	1												200601100067	20060110006701	743.271299483587
50	03	01	05	742.48742673	2	3	2	2	2	2	1	14						200601100067	20060110006701	743.271299483587
50	01	01	05	563.58850796	1	4	2	2	2	1							1	200601100068	20060110006801	564.597726273307
50	02	01	05	563.58850796	1	5	2	2	2	1							1	200601100068	20060110006801	564.597726273307
50	03	01	05	563.58850796	1	5	2	2	2	2	1	15						200601100068	20060110006801	564.597726273307
50	01	01	05	720.15201458	1	1												200601100069	20060110006901	720.332959899474
50	01	01	05	824.17376909	1	4	2	2	2	2	2							200601100070	20060110007001	824.981086582844
50	02	01	05	824.17376909	1	1												200601100070	20060110007001	824.981086582844
50	03	01	05	824.17376909	1	1												200601100070	20060110007001	824.981086582844
50	01	01	05	774.2727503	2	5	2	1										200601100071	20060110007101	773.511489084715
50	02	01	05	774.2727503	2	5	2	1										200601100071	20060110007101	773.511489084715
50	01	01	05	702.7092642	1	1												200601100072	20060110007201	704.273985289276
50	02	01	05	702.7092642	1	5	2	2	2	1							1	200601100072	20060110007201	704.273985289276
50	01	01	05	611.12914391	2	6												200601100073	20060110007301	613.805951896779
50	02	01	05	611.12914391	2	4	2	2	2	2	2							200601100073	20060110007301	613.805951896779
50	03	01	05	611.12914391	2	5	1											200601100073	20060110007301	613.805951896779
50	04	01	05	611.12914391	2	3	2	2	2	2	2							200601100073	20060110007301	613.805951896779
50	05	01	05	611.12914391	2	5	2	1										200601100073	20060110007301	613.805951896779
50	06	01	05	611.12914391	2	5	2	1										200601100073	20060110007301	613.805951896779
50	01	01	05	528.03006236	1	1												200601100074	20060110007401	527.309343766109
50	02	01	05	528.03006236	1	4	2	2	2	2	2							200601100074	20060110007401	527.309343766109
50	01	01	05	695.990997	3	1												200601100075	20060110007501	695.643872271632
50	02	01	05	695.990997	3	5	2	2	2	2	2							200601100075	20060110007501	695.643872271632
50	03	01	05	695.990997	3	4	2	2	2	1							1	200601100075	20060110007501	695.643872271632
50	01	01	05	761.33428855	2	5	1											200601100076	20060110007601	762.837609029871
50	02	01	05	761.33428855	2	4	2	1										200601100076	20060110007601	762.837609029871
50	03	01	05	761.33428855	2	5	2	1										200601100076	20060110007601	762.837609029871
50	04	01	05	761.33428855	2	3	2	2	2	2	2							200601100076	20060110007601	762.837609029871
50	01	01	05	760.0682691	2	5	2	2	2	1							1	200601100077	20060110007701	760.29421777679
50	02	01	05	760.0682691	2	4	2	2	2	1							1	200601100077	20060110007701	760.29421777679
50	03	01	05	760.0682691	2	3	2	2	2	2	2							200601100077	20060110007701	760.29421777679
50	01	01	05	880.12167055	1	5	2	2	2	1							1	200601100078	20060110007801	880.374593923114
50	02	01	05	880.12167055	2	4	2	2	2	2	2							200601100078	20060110007801	880.374593923114
50	03	01	05	880.12167055	2	5	2	2	2	1							1	200601100078	20060110007801	880.374593923114
50	04	01	05	880.12167055	2	5	2	2	2	2	2							200601100078	20060110007801	880.374593923114
50	01	01	05	588.90460065	1	1												200601100079	20060110007901	589.500975847013
50	02	01	05	588.90460065	1	5	2	2	2	1							1	200601100079	20060110007901	589.500975847013
50	03	01	05	588.90460065	1	4	2	2	2	2	1	11						200601100079	20060110007901	589.500975847013
50	01	01	05	528.27239268	1	4	2	2	2	2	1	13						200601100080	20060110008001	520.332866533478
50	02	01	05	528.27239268	1	2	2	2	2	1							1	200601100080	20060110008001	520.332866533478
50	03	01	05	528.27239268	1	1												200601100080	20060110008001	520.332866533478
50	08	01	05	528.27239268	1	4	2	2	2	2	1	13						200601100080	20060110008001	520.332866533478
50	11	01	05	528.27239268	1	6												200601100080	20060110008001	520.332866533478
50	01	01	05	744.34150008	2	1												200601100081	20060110008101	744.589781421308
50	02	01	05	744.34150008	2	1												200601100081	20060110008101	744.589781421308
50	01	01	05	720.04107024	1	5	2	1										200601100082	20060110008201	718.003730592257
50	02	01	05	720.04107024	1	4	1											200601100082	20060110008201	718.003730592257
50	01	01	05	788.65085886	2	1												200601100083	20060110008301	788.075693953664
50	02	01	05	788.65085886	2	1												200601100083	20060110008301	788.075693953664
50	03	01	05	788.65085886	2	1												200601100083	20060110008301	788.075693953664
50	01	01	05	720.04107024	2	1												200601100084	20060110008401	718.003730592257
50	02	01	05	720.04107024	2	4	2	2	2	2	2							200601100084	20060110008401	718.003730592257
50	01	01	05	820.76918004	2	1												200601100085	20060110008501	821.13891629667
50	02	01	05	820.76918004	2	4	2	2	2	2	2							200601100085	20060110008501	821.13891629667
50	01	01	05	720.04107024	2	1												200601100086	20060110008601	718.003730592257
50	02	01	05	720.04107024	2	4	2	2	2	2	2							200601100086	20060110008601	718.003730592257
50	01	01	05	673.65558484	1	1												200601100087	20060110008701	672.705532687518
50	01	01	05	814.29994916	1	1												200601100088	20060110008801	815.801976269249
50	02	01	05	814.29994916	1	4	2	2	2	2	2							200601100088	20060110008801	815.801976269249
50	03	01	05	814.29994916	1	5	2	2	2	1							1	200601100088	20060110008801	815.801976269249
50	01	01	05	766.53749997	1	4	2	2	2	2	2							200601100089	20060110008901	765.631157804212
50	02	01	05	766.53749997	1	5	2	1										200601100089	20060110008901	765.631157804212
