Reg	Orden	Hogar	Area	Fex_c	P24	P26	P27	P27na	P27nba	P27nbb	Valor28	P29	Valor29	P30	Valor30	P30a	Valor30a	P30b	Valor30b	Valor31	Valor32a	Valor32b	Valor33a	Valor33b	Valor33c	P33a	P33b	P33c	P33d	P33e	Rama4d	Oci	Llave_viv	Llave_hog	Fex_c_2011
60	06	01	05	611.12914391	39	51	1	1	2	12	426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	5139	1	200601100073	20060110007301	613.805951896779
60	01	01	05	528.03006236	95	45	1	1	2	04	440000	2		2		2		2			0	0	0	0	0	1	1	1	2		4552	1	200601100074	20060110007401	527.309343766109
60	01	01	05	695.990997	54	95	3	1	1		310000	1	100000	2		2		2			0	0	0	0	0	1	1	2	2		9500	1	200601100075	20060110007501	695.643872271632
60	01	01	05	761.33428855	81	36	1	1	1		426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	3611	1	200601100076	20060110007601	762.837609029871
60	02	01	05	761.33428855	57	93	4													200000	0	0	0	0	0	1	1	5	2		9302	1	200601100076	20060110007601	762.837609029871
60	03	01	05	761.33428855	99	45	1	2			426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	4521	1	200601100076	20060110007601	762.837609029871
60	01	01	05	588.90460065	41	52	4													98	0	0	0	0	0	1	2		2		5225	1	200601100079	20060110007901	589.500975847013
60	03	01	05	528.27239268	99	90	1	1	2	03	381500	2		2		2		2			0	0	0	0	0	1	1	1	1	1	9000	1	200601100080	20060110008001	520.332866533478
60	01	01	05	744.34150008	58	63	1	1	1		426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	6331	1	200601100081	20060110008101	744.589781421308
60	02	01	05	744.34150008	54	85	4													60000	0	0	0	0	0	1	1	5	2		8532	1	200601100081	20060110008101	744.589781421308
60	01	01	05	720.04107024	45	20	1	1	1		480000	1	70000	2		2		2			0	0	0	0	0	1	1	2	1	2	2030	1	200601100082	20060110008201	718.003730592257
60	02	01	05	720.04107024	54	85	4													50000	0	0	0	0	0	1	1	5	2		8532	1	200601100082	20060110008201	718.003730592257
60	01	01	05	788.65085886	55	70	1	1	1		98	2		2		2		2			0	0	0	0	0	1	1	1	1	1	7020	1	200601100083	20060110008301	788.075693953664
60	02	01	05	788.65085886	54	95	3	2			98	2		2		2		2			0	0	0	0	0	1	1	5	2		9500	1	200601100083	20060110008301	788.075693953664
60	03	01	05	788.65085886	13	80	4													98	0	0	0	0	0	1	1	4	1	3	8043	1	200601100083	20060110008301	788.075693953664
60	01	01	05	720.04107024	99	45	1	2			380000	2		2		2		2			0	0	0	0	0	1	1	1	2		4521	1	200601100084	20060110008401	718.003730592257
60	01	01	05	820.76918004	93	45	4													380500	0	0	0	0	0	1	2		2		4552	1	200601100085	20060110008501	821.13891629667
60	01	01	05	720.04107024	95	45	4													98	0	0	0	0	0	1	2		2		4552	1	200601100086	20060110008601	718.003730592257
60	01	01	05	673.65558484	32	52	1	1	1		600000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	5234	1	200601100087	20060110008701	672.705532687518
60	01	01	05	814.29994916	95	45	4													380000	0	0	0	0	0	1	2		2		4552	1	200601100088	20060110008801	815.801976269249
60	02	01	05	766.53749997	54	55	1	1	2	12	436000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	5511	1	200601100089	20060110008901	765.631157804212
60	01	01	05	736.01819586	19	75	1	1	2	06	900000	2		2		2		2			0	0	0	0	0	1	1	4	1	3	7513	1	200601100090	20060110009001	737.934359456166
60	02	01	05	736.01819586	45	55	1	1	1		426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	5522	1	200601100090	20060110009001	737.934359456166
60	01	01	05	788.65085886	99	45	1	1	2	03	426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	4521	1	200601100091	20060110009101	788.075693953664
60	03	01	05	788.65085886	58	92	1	1	2	03	460000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	9231	1	200601100091	20060110009101	788.075693953664
60	01	01	05	830.16613044	56	93	4													80000	0	0	0	0	0	1	1	5	2		9301	1	200601100092	20060110009201	833.40337582594
