Reg	Orden	Hogar	Area	Fex_c	P60	P61	P61na	P62	P63	P64	P64na	Valor65a	Valor65b	Valor65c	Valor66a	Valor66b	Valor66c	Ini	Llave_viv	Llave_hog	Fex_c_2011
80	01	01	05	846.39831235	1	4	0	2				0	0	0	0	0	0	1	200601100144	20060110014401	849.28606263261
80	02	01	05	846.39831235	2				2			0	0	0	0	0	0	1	200601100144	20060110014401	849.28606263261
80	04	01	05	846.39831235	2				2			0	0	0	0	0	0	1	200601100144	20060110014401	849.28606263261
80	05	01	05	846.39831235	2				2			0	0	0	0	0	0	1	200601100144	20060110014401	849.28606263261
80	05	01	05	624.13004864	1	4	4	2				0	0	0	0	0	0	1	200601100145	20060110014501	623.966325612333
80	03	01	05	681.45351818	2				2			0	0	0	0	0	0	1	200601100148	20060110014801	679.603568221828
80	01	01	05	709.17849507	1	4	5	2				0	0	381500	0	0	0	1	200601100149	20060110014901	709.610925316698
80	04	01	05	700.74432195	2				1	2	12	0	0	0	0	0	0	1	200601100151	20060110015101	704.322139817208
80	01	01	05	806.39107149								0	0	0	1500000	0	0	1	200601100152	20060110015201	806.574711427722
80	01	01	05	709.17849507	2				2			0	0	300000	0	0	0	1	200601100153	20060110015301	709.610925316698
80	02	01	05	1520.1365382	1	4	6	2				0	0	0	0	0	0	1	200601100155	20060110015501	1520.58843555358
80	01	01	05	1418.3569901	2				2			0	0	0	98	0	0	1	200601100157	20060110015701	1419.2218506334
80	02	01	05	1347.7552762	1	3	3	2				0	0	0	98	0	0	1	200601100158	20060110015801	1346.39867224436
80	02	01	05	1363.2257769	1	2	3	1		1	09	0	0	0	0	0	0	1	200601100160	20060110016001	1362.15933480537
80	03	01	05	1257.863599	2				2			0	0	0	0	0	0	1	200601100161	20060110016101	1263.58292606309
80	04	01	05	1257.863599	2				2			0	0	0	0	0	0	1	200601100161	20060110016101	1263.58292606309
80	02	01	05	1347.089281	1	4	3	2				0	0	0	0	0	0	1	200601100162	20060110016201	1340.7526067606
80	03	01	05	1219.9479867	2				2			0	0	0	0	0	0	1	200601100164	20060110016401	1219.79184835609
80	04	01	05	1219.9479867	2				2			0	0	0	0	0	0	1	200601100164	20060110016401	1219.79184835609
80	03	01	05	814.29994916	2				2			0	0	0	0	0	0	1	200601100165	20060110016501	815.801976269249
80	01	01	05	956.54935051	1	4	5	2				0	250000	98	0	0	0	1	200601100166	20060110016601	956.923728798477
80	03	01	05	956.54935051	2				2			0	0	0	0	0	0	1	200601100166	20060110016601	956.923728798477
80	01	01	05	859.3367741	1	4	5	2				0	0	98	0	0	0	1	200601100167	20060110016701	859.959942687453
80	02	01	05	859.3367741	2				2			0	0	0	0	0	0	1	200601100167	20060110016701	859.959942687453
