Reg	Orden	Hogar	Area	Fex_c	Oci	P37	P37na	Valor38	P39	P40	P41	P42	P43	P44	P45	P46a	P46b	P46c	P46d	P46e	P46f	P46g	P46h	P46i	P47	P48	Llave_viv	Llave_hog	Fex_c_2011
62	01	01	05	681.45351818	1	2				2					2												200601100148	20060110014801	679.603568221828
62	02	01	05	681.45351818	1	2				2					2												200601100148	20060110014801	679.603568221828
62	06	01	05	681.45351818	1	2				2					2												200601100148	20060110014801	679.603568221828
62	01	01	05	579.57033326	1	2				2					2												200601100150	20060110015001	576.254220571551
62	01	01	05	700.74432195	1	2				1	40	1	1	1			1						1		1	1	200601100151	20060110015101	704.322139817208
62	01	01	05	1472.0363917	1	2				2					2												200601100154	20060110015401	1475.86871891233
62	02	01	05	1472.0363917	1	2				2					2												200601100154	20060110015401	1475.86871891233
62	04	01	05	1472.0363917	1	2				2					2												200601100154	20060110015401	1475.86871891233
62	01	01	05	1520.1365382	1	2				2					2												200601100155	20060110015501	1520.58843555358
62	03	01	05	1520.1365382	1	2				2					2												200601100155	20060110015501	1520.58843555358
62	01	01	05	1347.7552762	1	2				2					1	1			1						1	1	200601100158	20060110015801	1346.39867224436
62	01	01	05	1347.7552762	1	2				2					2												200601100159	20060110015901	1346.39867224436
62	02	01	05	1347.7552762	1	2				2					2												200601100159	20060110015901	1346.39867224436
62	01	01	05	1363.2257769	1	2				2					2												200601100160	20060110016001	1362.15933480537
62	01	01	05	1257.863599	1	2				2					1		1		1						2	1	200601100161	20060110016101	1263.58292606309
62	02	01	05	1257.863599	1	2				1	48	1	1	1			1						1		1	1	200601100161	20060110016101	1263.58292606309
62	01	01	05	1347.089281	1	2				2					1		1						1		2	1	200601100162	20060110016201	1340.7526067606
62	02	01	05	1456.2186364	1	2				2					2												200601100163	20060110016301	1457.41418922928
62	01	01	05	1219.9479867	1	2				2					2												200601100164	20060110016401	1219.79184835609
62	02	01	05	1219.9479867	1	2				2					2												200601100164	20060110016401	1219.79184835609
62	01	01	05	814.29994916	1	2				2					2												200601100165	20060110016501	815.801976269249
62	02	01	05	814.29994916	1	2				2					2												200601100165	20060110016501	815.801976269249
62	02	01	05	956.54935051	1	2				2					2												200601100166	20060110016601	956.923728798477
62	04	01	05	956.54935051	1	2				2					2												200601100166	20060110016601	956.923728798477
62	03	01	05	859.3367741	1	2				2					2												200601100167	20060110016701	859.959942687453
62	01	01	05	753.42541087	1	2				2					2												200601100168	20060110016801	753.610344188344
62	01	01	05	619.42390477	1	2				1	24	1	1	1			1		1				1		1	1	200601100169	20060110016901	617.19777419506
62	01	01	05	820.76918004	1	2				2					2												200601100170	20060110017001	821.13891629667
62	01	01	05	806.39107149	1	2				2					2												200601100171	20060110017101	806.574711427722
62	01	01	05	736.01819586	1	2				2					1		1								2	1	200601100172	20060110017201	737.934359456166
